document_ID,firm_ID,time_of_earning_call
575.F,AEP,2023 Q4
576.F,AES,2013 Q2
577.F,AES,2013 Q3
578.F,AES,2013 Q4
579.F,AES,2014 Q1
580.F,AES,2014 Q2
581.F,AES,2014 Q3
582.F,AES,2014 Q4
583.F,AES,2015 Q1
584.F,AES,2015 Q2
585.F,AES,2015 Q3
586.F,AES,2015 Q4
587.F,AES,2016 Q1
588.F,AES,2016 Q2
589.F,AES,2016 Q3
590.F,AES,2016 Q4
591.F,AES,2017 Q1
592.F,AES,2017 Q2
593.F,AES,2017 Q3
594.F,AES,2017 Q4
595.F,AES,2018 Q1
596.F,AES,2018 Q2
597.F,AES,2018 Q3
598.F,AES,2018 Q4
599.F,AES,2019 Q1
600.F,AES,2019 Q2
601.F,AES,2019 Q3
602.F,AES,2019 Q4
603.F,AES,2020 Q1
604.F,AES,2020 Q2
605.F,AES,2020 Q3
606.F,AES,2020 Q4
607.F,AES,2021 Q1
608.F,AES,2021 Q2
609.F,AES,2021 Q3
610.F,AES,2021 Q4
611.F,AES,2022 Q1
612.F,AES,2022 Q2
613.F,AES,2022 Q3
614.F,AES,2022 Q4
615.F,AES,2023 Q1
616.F,AES,2023 Q2
617.F,AES,2023 Q3
618.F,AES,2023 Q4
619.F,AFL,2013 Q1
620.F,AFL,2013 Q2
621.F,AFL,2013 Q3
622.F,AFL,2013 Q4
623.F,AFL,2014 Q1
624.F,AFL,2014 Q2
625.F,AFL,2014 Q3
626.F,AFL,2014 Q4
627.F,AFL,2015 Q1
628.F,AFL,2015 Q2
629.F,AFL,2015 Q3
630.F,AFL,2015 Q4
631.F,AFL,2016 Q1
632.F,AFL,2016 Q2
633.F,AFL,2016 Q3
634.F,AFL,2016 Q4
635.F,AFL,2017 Q1
636.F,AFL,2017 Q2
637.F,AFL,2017 Q3
638.F,AFL,2017 Q4
639.F,AFL,2018 Q1
640.F,AFL,2018 Q2
641.F,AFL,2018 Q3
642.F,AFL,2018 Q4
643.F,AFL,2019 Q1
644.F,AFL,2019 Q2
645.F,AFL,2019 Q3
646.F,AFL,2019 Q4
647.F,AFL,2020 Q1
648.F,AFL,2020 Q2
649.F,AFL,2020 Q3
650.F,AFL,2020 Q4
651.F,AFL,2021 Q1
652.F,AFL,2021 Q2
653.F,AFL,2021 Q3
654.F,AFL,2021 Q4
655.F,AFL,2022 Q1
656.F,AFL,2022 Q2
657.F,AFL,2022 Q3
658.F,AFL,2022 Q4
659.F,AFL,2023 Q1
660.F,AFL,2023 Q2
661.F,AFL,2023 Q3
662.F,AFL,2023 Q4
663.F,AIG,2013 Q1
664.F,AIG,2013 Q2
665.F,AIG,2013 Q3
666.F,AIG,2013 Q4
667.F,AIG,2014 Q1
668.F,AIG,2014 Q2
669.F,AIG,2014 Q3
670.F,AIG,2014 Q4
671.F,AIG,2015 Q1
672.F,AIG,2015 Q2
673.F,AIG,2015 Q3
674.F,AIG,2015 Q4
675.F,AIG,2016 Q1
676.F,AIG,2016 Q2
677.F,AIG,2016 Q3
678.F,AIG,2016 Q4
679.F,AIG,2017 Q1
680.F,AIG,2017 Q2
681.F,AIG,2017 Q3
682.F,AIG,2017 Q4
683.F,AIG,2018 Q1
684.F,AIG,2018 Q2
685.F,AIG,2018 Q3
686.F,AIG,2018 Q4
687.F,AIG,2019 Q1
688.F,AIG,2019 Q2
689.F,AIG,2019 Q3
690.F,AIG,2019 Q4
691.F,AIG,2020 Q1
692.F,AIG,2020 Q2
693.F,AIG,2020 Q3
694.F,AIG,2020 Q4
695.F,AIG,2021 Q1
696.F,AIG,2021 Q2
697.F,AIG,2021 Q3
698.F,AIG,2021 Q4
699.F,AIG,2022 Q1
700.F,AIG,2022 Q2
701.F,AIG,2022 Q3
702.F,AIG,2022 Q4
703.F,AIG,2023 Q1
704.F,AIG,2023 Q2
705.F,AIG,2023 Q3
706.F,AIG,2023 Q4
707.F,AIZ,2013 Q1
708.F,AIZ,2013 Q2
709.F,AIZ,2013 Q3
710.F,AIZ,2013 Q4
711.F,AIZ,2014 Q1
712.F,AIZ,2014 Q2
713.F,AIZ,2014 Q3
714.F,AIZ,2014 Q4
715.F,AIZ,2015 Q1
716.F,AIZ,2015 Q2
717.F,AIZ,2015 Q3
718.F,AIZ,2015 Q4
719.F,AIZ,2016 Q1
720.F,AIZ,2016 Q2
721.F,AIZ,2016 Q3
722.F,AIZ,2016 Q4
723.F,AIZ,2017 Q1
724.F,AIZ,2017 Q2
725.F,AIZ,2017 Q3
726.F,AIZ,2017 Q4
727.F,AIZ,2018 Q1
728.F,AIZ,2018 Q2
729.F,AIZ,2018 Q3
730.F,AIZ,2018 Q4
731.F,AIZ,2019 Q1
732.F,AIZ,2019 Q2
733.F,AIZ,2019 Q3
734.F,AIZ,2019 Q4
735.F,AIZ,2020 Q1
736.F,AIZ,2020 Q2
737.F,AIZ,2020 Q3
738.F,AIZ,2020 Q4
739.F,AIZ,2021 Q1
740.F,AIZ,2021 Q2
741.F,AIZ,2021 Q3
